,sentiment score,sentiment magnitude
0,-0.20000000298023224,4.900000095367432
1,-0.20000000298023224,5.300000190734863
2,-0.30000001192092896,19.200000762939453
3,-0.10000000149011612,6.199999809265137
4,-0.30000001192092896,19.700000762939453
5,-0.20000000298023224,18.299999237060547
6,-0.20000000298023224,6.0
7,0.0,3.4000000953674316
8,0.0,10.100000381469727
9,-0.10000000149011612,14.100000381469727
10,-0.20000000298023224,8.800000190734863
11,-0.20000000298023224,4.5
12,-0.30000001192092896,12.600000381469727
13,-0.10000000149011612,4.199999809265137
14,-0.20000000298023224,5.0
15,-0.10000000149011612,4.900000095367432
16,0.0,4.199999809265137
17,-0.10000000149011612,3.5999999046325684
18,-0.10000000149011612,6.0
19,0.0,3.299999952316284
20,-0.20000000298023224,17.299999237060547
21,-0.20000000298023224,20.299999237060547
22,-0.10000000149011612,3.299999952316284
23,-0.30000001192092896,12.100000381469727
24,-0.20000000298023224,4.099999904632568
25,-0.20000000298023224,5.199999809265137
26,-0.20000000298023224,6.0
27,-0.20000000298023224,9.100000381469727
28,-0.20000000298023224,15.600000381469727
29,-0.20000000298023224,12.899999618530273
30,-0.30000001192092896,5.0
31,-0.20000000298023224,8.399999618530273
32,-0.30000001192092896,6.099999904632568
33,-0.20000000298023224,13.699999809265137
34,-0.20000000298023224,10.199999809265137
35,-0.20000000298023224,13.600000381469727
36,-0.30000001192092896,12.300000190734863
37,-0.10000000149011612,3.700000047683716
38,-0.30000001192092896,13.699999809265137
39,-0.20000000298023224,4.599999904632568
40,-0.20000000298023224,20.5
41,-0.4000000059604645,13.300000190734863
42,-0.20000000298023224,8.199999809265137
43,-0.30000001192092896,18.5
44,-0.20000000298023224,13.800000190734863
45,0.0,2.799999952316284
46,-0.30000001192092896,13.199999809265137
47,-0.30000001192092896,13.199999809265137
48,-0.10000000149011612,7.800000190734863
49,0.0,3.0999999046325684
50,0.0,3.299999952316284
51,-0.30000001192092896,16.5
52,-0.20000000298023224,4.800000190734863
53,-0.4000000059604645,17.600000381469727
54,-0.30000001192092896,13.100000381469727
55,-0.20000000298023224,4.300000190734863
56,-0.20000000298023224,15.300000190734863
57,-0.20000000298023224,4.5
58,-0.30000001192092896,24.100000381469727
59,-0.30000001192092896,13.199999809265137
60,-0.30000001192092896,13.899999618530273
61,-0.20000000298023224,3.9000000953674316
62,-0.20000000298023224,4.199999809265137
63,-0.10000000149011612,3.9000000953674316
64,-0.20000000298023224,5.900000095367432
65,-0.30000001192092896,13.600000381469727
66,-0.30000001192092896,10.300000190734863
67,0.10000000149011612,2.299999952316284
68,-0.30000001192092896,21.299999237060547
69,-0.10000000149011612,4.599999904632568
70,-0.20000000298023224,4.300000190734863
71,0.0,14.899999618530273
72,0.0,3.4000000953674316
73,-0.10000000149011612,5.0
74,-0.10000000149011612,3.299999952316284
75,-0.20000000298023224,3.700000047683716
76,-0.20000000298023224,11.800000190734863
77,-0.10000000149011612,6.400000095367432
78,-0.20000000298023224,5.099999904632568
79,-0.20000000298023224,12.399999618530273
80,-0.10000000149011612,3.799999952316284
81,-0.20000000298023224,11.0
82,-0.20000000298023224,9.600000381469727
83,-0.20000000298023224,5.199999809265137
84,-0.30000001192092896,8.699999809265137
85,-0.20000000298023224,45.0
86,-0.20000000298023224,27.700000762939453
87,-0.30000001192092896,20.200000762939453
88,-0.20000000298023224,44.599998474121094
89,-0.30000001192092896,18.200000762939453
90,-0.30000001192092896,13.5
91,0.20000000298023224,5.699999809265137
92,-0.4000000059604645,21.5
93,-0.20000000298023224,13.0
94,-0.30000001192092896,16.899999618530273
95,-0.10000000149011612,3.799999952316284
96,-0.20000000298023224,4.800000190734863
97,-0.20000000298023224,4.900000095367432
98,-0.4000000059604645,19.700000762939453
99,-0.20000000298023224,25.0
